Customer_ID,Age,Gender,Product,Category,Price,Is_Impulse,Time,Date,Discount_Applied,Age_Group,Hour,Weekday
aeec9a3b-5b27-48e5-ab07-86dbdab62b3d,39,Other,Toothpaste,Personal Care,42.14,1,22:53:48,2025-06-15,20,36-45,22,Sunday
9cd6931c-677b-4119-9742-cd86a846f171,56,Male,Juice,Beverages,93.54,1,21:18:58,2025-06-16,0,46-60,21,Monday
cc789bd4-7832-471b-a1e1-eb028cc65542,48,Other,Toothpaste,Personal Care,120.51,0,15:08:44,2025-06-15,15,46-60,15,Sunday
1d7a6b0e-eee4-4713-90a4-3fa5582f9ec2,31,Other,Tissue Paper,Household,224.37,0,00:36:08,2025-06-08,10,26-35,0,Sunday
4817aafa-5740-4ac2-9a4d-5cf9e205b47d,60,Female,Yogurt,Dairy,131.5,1,10:53:11,2025-06-14,20,46-60,10,Saturday
0d6666c1-c8c5-4149-b566-693f5141740f,28,Other,Iced Tea,Beverages,107.82,0,12:31:24,2025-06-10,0,26-35,12,Tuesday
0050e91f-5a63-464e-a15f-d5bac37aee9a,20,Female,Frozen Fries,Frozen Food,149.24,0,13:41:05,2025-06-05,5,15-25,13,Thursday
e0608564-db0f-4468-b23a-01cd5c8d0270,25,Other,Soap,Personal Care,253.13,0,20:56:59,2025-06-06,20,15-25,20,Friday
d2f1b3c8-67c5-4197-a9f4-7cb756ca9f03,23,Female,Croissant,Bakery,106.21,0,21:08:11,2025-06-20,20,15-25,21,Friday
815e36d9-6bf8-460f-9425-abeaadbcd3fe,26,Female,Chips,Snacks,228.59,0,11:49:52,2025-06-12,20,26-35,11,Thursday
77dd181d-c7f8-42e8-93dd-fee17b6185fd,42,Female,Soap,Personal Care,148.5,0,16:01:01,2025-05-27,15,36-45,16,Tuesday
807a8936-9e1f-4f44-a2e1-a71620cbaf1a,58,Other,Soap,Personal Care,98.43,0,06:19:46,2025-06-11,0,46-60,6,Wednesday
6bc23beb-429c-48f2-b2d7-c9e87fee84f1,57,Male,Cheese,Dairy,290.61,0,11:31:24,2025-06-18,15,46-60,11,Wednesday
1540064b-08ff-4131-94c9-51e108b23428,50,Female,Toothpaste,Personal Care,271.78,0,11:09:08,2025-07-01,5,46-60,11,Tuesday
ca4d2ef9-b979-4810-b772-b2ac996a56e7,56,Male,Toothpaste,Personal Care,72.99,0,09:39:17,2025-07-09,20,46-60,9,Wednesday
ed8e61f4-379d-4faa-919f-88643b2bd83d,58,Male,Yogurt,Dairy,159.03,1,07:52:48,2025-06-03,20,46-60,7,Tuesday
